Article Title,Source Title,"Times Cited, All Databases",Publication Year
Population genetic assessment of xGigantocalamus malpenensis KM Wong (Poaceae: Bambusoideae: Bambuseae) and implications for bamboo silviculture,GENETIC RESOURCES AND CROP EVOLUTION,0,2023
Genetic assessment of captive red pandas (Ailurus fulgens) in American zoos to address management separation by putative subspecies,ZOO BIOLOGY,4,2021
A novel insight into transcriptional and epigenetic regulation underlying sex expression and flower development in melon (Cucumis melo L.),PHYSIOLOGIA PLANTARUM,8,2021
A genome-wide analysis of coatomer protein (COP) subunits of apicomplexan parasites and their evolutionary relationships,BMC GENOMICS,3,2019
"HIV-1 Genetic Diversity Among Incident Infections in Mbeya, Tanzania",AIDS RESEARCH AND HUMAN RETROVIRUSES,14,2017
Ancestral state reconstruction by comparative analysis of a GRN kernel operating in echinoderms,DEVELOPMENT GENES AND EVOLUTION,16,2016
Combining genetic analyses of archived specimens with distribution modelling to explain the anomalous distribution of the rare lichen Staurolemma omphalarioides: long-distance dispersal or vicariance?,JOURNAL OF BIOGEOGRAPHY,25,2014
Outbreak of H3N2 Influenza at a US Military Base in Djibouti during the H1N1 Pandemic of 2009,PLOS ONE,12,2013
Evidence for population fragmentation within a subterranean aquatic habitat in the Western Australian desert,HEREDITY,31,2011
Pigmentation Pathway Evolution after Whole-Genome Duplication in Fish,GENOME BIOLOGY AND EVOLUTION,106,2009
Identification of New CRF43_02G and CRF25_cpx in Saudi Arabia Based on Full Genome Sequence Analysis of Six HIV Type 1 Isolates,AIDS RESEARCH AND HUMAN RETROVIRUSES,20,2008
Apparent 'sympatric' speciation in ecologically similar herbivorous beetles facilitated by multiple colonizations of an island,MOLECULAR ECOLOGY,50,2006
A strategy for the identification of canonical and non-canonical MHC I-binding epitopes using an ANN-based epitope prediction algorithm,QSAR & COMBINATORIAL SCIENCE,3,2006
Cloning and expression study of a high-affinity nitrate transporter gene from Zea mays L,PLANT SIGNALING & BEHAVIOR,0,2023
Genetic diversity and structure of Oncomelania hupensis hupensis in two eco-epidemiological settings as revealed by the mitochondrial COX1 gene sequences,MOLECULAR BIOLOGY REPORTS,2,2022
Mitogen-Activated Protein Kinase Expression Profiling Revealed Its Role in Regulating Stress Responses in Potato (Solanum tuberosum),PLANTS-BASEL,16,2021
HIV Care Prioritization Using Phylogenetic Branch Length,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,4,2021
Transcriptomes reveal expression of hemoglobins throughout insects and other Hexapoda,PLOS ONE,7,2020
"Pheromone-binding proteins based phylogenetics and phylogeography of Maruca spp. from Asia, Africa, Oceania, and South America",ECOLOGY AND EVOLUTION,6,2019
Genomic and Metagenomic Insights Into the Microbial Community in the Regenerating Intestine of the Sea Cucumber Apostichopus japonicus,FRONTIERS IN MICROBIOLOGY,18,2019
Seed Plant-Specific Gene Lineages Involved in Carpel Development,MOLECULAR BIOLOGY AND EVOLUTION,40,2017
Genomic characterization of human rotavirus G10 strains from the African Rotavirus Network: Relationship to animal rotaviruses,INFECTION GENETICS AND EVOLUTION,26,2011
A history of Evo-Devo research in Spain,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,4,2009
From sensation to cognition,BRAIN,2266,1998
"Cell Proliferation, Migration, and Neurogenesis in the Adult Brain of the Pulse Type Weakly Electric Fish, Gymnotus omarorum",FRONTIERS IN NEUROSCIENCE,15,2017
The FOXP2-Driven Network in Developmental Disorders and Neurodegeneration,FRONTIERS IN CELLULAR NEUROSCIENCE,30,2017
Genetic variation and phylogenetic relationships of a pantropical species group in Polystachya (Orchidaceae),BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,8,2011
Machado-Joseph disease in a Sudanese family links East Africa to Portuguese families and allows reestimation of ancestral age of the Machado lineage,HUMAN GENETICS,0,2023
Conservation tillage practices affect soil microbial diversity and composition in experimental fields,FRONTIERS IN MICROBIOLOGY,2,2023
"Genome-Wide Identification, Characterization, and Expression Profiling of the Glutaredoxin Gene Family in Tea Plant (Camellia sinensis)",FORESTS,1,2023
Large-scale analysis of trihelix transcription factors reveals their expansion and evolutionary footprint in plants,PHYSIOLOGIA PLANTARUM,0,2023
"Genetic and population diversity of Toxocara cati (Schrank, 1788) Brumpt, 1927, on the basis of the internal transcribed spacer (ITS) region",PARASITOLOGY RESEARCH,3,2022
Function identification and characterization of Oryza sativa ZRT and IRT-like proteins computationally for nutrition and biofortification in rice,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,1,2023
Population Genomics Approaches for Genetic Characterization of SARS-CoV-2 Lineages,FRONTIERS IN MEDICINE,2,2022
Genome-wide characterization of bZIP gene family identifies potential members involved in flavonoids biosynthesis in Ginkgo biloba L.,SCIENTIFIC REPORTS,12,2021
"Identification, Molecular Characteristic, and Expression Analysis of PIFs Related to Chlorophyll Metabolism in Tea Plant (Camellia sinensis)",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,5,2021
"Genetic diversity, differentiation and historical origin of the isolated population of rooks Corvus frugilegus in Iberia",JOURNAL OF AVIAN BIOLOGY,4,2021
Global Analysis of Gene Expression Profiles Provides Novel Insights into the Development and Evolution of the Large Crustacean Eriocheir sinensis,GENOMICS PROTEOMICS & BIOINFORMATICS,5,2020
Molecular characterization ofAcomys louisaefrom Somaliland: a deep divergence and contrasting genetic patterns in a rift zone,MAMMALIAN BIOLOGY,4,2020
Assessment of the global paradigms of genetic variability in Strongyloides stercoralis infrapopulations determined by mitochondrial DNA sequences,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,5,2019
Louse flies of Eleonora's falcons that also feed on their prey are evolutionary dead-end hosts for blood parasites,MOLECULAR ECOLOGY,9,2019
"Molecular phylogeny, morphology, and distribution of Polygordius (Polychaeta: Polygordiidae) in the Atlantic and Mediterranean",MOLECULAR PHYLOGENETICS AND EVOLUTION,6,2018
MIKCC-type MADS-box genes in Rosa chinensis: the remarkable expansion of ABCDE model genes and their roles in floral organogenesis,HORTICULTURE RESEARCH,45,2018
Evolution and postglacial colonization of Seewis hantavirus with Sorex araneus in Finland,INFECTION GENETICS AND EVOLUTION,13,2018
Phylogenetic and Temporal Dynamics of Human Immunodeficiency Virus Type 1B in China: Four Types of B Strains Circulate in China,AIDS RESEARCH AND HUMAN RETROVIRUSES,14,2014
Molecular characterization of influenza viruses circulating in Northern Italy during two seasons (2005/2006 and 2006/2007) of low influenza activity,JOURNAL OF MEDICAL VIROLOGY,9,2008
"Identification and characterization of a very long-chain fatty acid elongase gene in the methylotrophic yeast, Hansenula polymorpha",GENE,14,2007
Structural basis for altering the stability of homologous RNAs from a mesophilic and a thermophilic bacterium,RNA,25,2006
The evolution of patterning of serially homologous appendages in insects,DEVELOPMENT GENES AND EVOLUTION,56,2004
A functional homologue of goosecoid in Drosophila,DEVELOPMENT,63,1996
Genetic analysis of a 66-kDa protein-encoding gene of Angiostrongylus cantonensis and Angiostrongylus malaysiensis,PARASITOLOGY,2,2023
"Diversity of Tartary Buckwheat (Fagopyrum tataricum) Landraces from Liangshan, Southwest China: Evidence from Morphology and SSR Markers",AGRONOMY-BASEL,7,2022
Up-regulation of a stress-responsive endochitinase VvChit-IV in grapevine cell cultures improves in vitro stress tolerance,PROTOPLASMA,5,2022
DNA methylation and mRNA expression of COL6A3 in antler mesenchyme of female and male reindeer,GENES & GENOMICS,4,2019
Genome-wide exploration of C2H2 zinc finger family in durum wheat (Triticum turgidum ssp Durum): insights into the roles in biological processes especially stress response,BIOMETALS,42,2018
Phylogeography of a widely distributed species reveals a cryptic assemblage of distinct genetic lineages needing separate conservation strategies,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,20,2018
Functional trait and community phylogenetic analyses reveal environmental filtering as the major determinant of assembly of tropical forest tree communities in the Western Ghats biodiversity hotspot in India,FOREST ECOSYSTEMS,11,2018
Hospital surveillance of influenza strains: a concordant image of viruses identified by the Swiss Sentinel system?,INFLUENZA AND OTHER RESPIRATORY VIRUSES,2,2017
"Genetic differentiation between red deer from different sample sites on the Tianshan Mountains (Cervus elaphus), China",MITOCHONDRIAL DNA,6,2015
ORIGINS AND CLOSE RELATIVES OF A SEMI-DOMESTICATED NEOTROPICAL FRUIT TREE: CHRYSOPHYLLUM CAINITO (SAPOTACEAE),AMERICAN JOURNAL OF BOTANY,20,2012
INHIBITORY DESCENDING RHOMBENCEPHALIC PROJECTIONS IN LARVAL SEA LAMPREY,NEUROSCIENCE,9,2011
The Persistent Circulation of Enterovirus 71 in People's Republic of China: Causing Emerging Nationwide Epidemics Since 2008,PLOS ONE,170,2011
"Genome-wide identification, classification, and characterization of lectin gene superfamily in sweet orange (Citrus sinensis L.)",PLOS ONE,2,2023
Genetic Diversity and Phylogenetic Relationships of Russian Pig Breeds Based on the Analysis of mtDNA D-Loop Polymorphism,RUSSIAN JOURNAL OF GENETICS,2,2022
Regulation of the Zinc Deficiency Response in the Legume Model Medicago truncatula,FRONTIERS IN PLANT SCIENCE,7,2022
"Sharp Increase of Problematic Mitogenomes of Birds: Causes, Consequences, and Remedies",GENOME BIOLOGY AND EVOLUTION,0,2021
Genome-wide identification of NOD-like receptors and their expression profiling in mucosal tissues of turbot (Scophthalmus maximus L.) upon bacteria challenge,MOLECULAR IMMUNOLOGY,9,2021
Regulators of an ancient polyphenism evolved through episodic protein divergence and parallel gene radiations,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,8,2020
Current Knowledge on Pathogenicity and Management of Stemphylium botryosum in Lentils (Lens culinaris ssp. culinaris Medik),PATHOGENS,10,2019
Identification of Novel Abiotic Stress Proteins in Triticum aestivum Through Functional Annotation of Hypothetical Proteins,INTERDISCIPLINARY SCIENCES-COMPUTATIONAL LIFE SCIENCES,11,2018
"Lack of satellite DNA species-specific homogenization and relationship to chromosomal rearrangements in monitor lizards (Varanidae, Squamata)",BMC EVOLUTIONARY BIOLOGY,17,2017
"Phylogeny and subgeneric classification of Bouteloua with a new species, B-herrera-arrietae (Poaceae: Chloridoideae: Cynodonteae: Boutelouinae)",JOURNAL OF SYSTEMATICS AND EVOLUTION,26,2015
"How Jerry Fodor slid down the slippery slope to Anti-Darwinism, and how we can avoid the same fate",EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,11,2013
Out of South America: multiple origins of non-native apple snails in Asia,DIVERSITY AND DISTRIBUTIONS,271,2008
Phylogeographic implications for the North American boreal-arctic Arabidopsis lyrata complex,PLANT ECOLOGY & DIVERSITY,29,2008
Cryptic Neogene vicariance and Quaternary dispersal of the red-spotted toad (Bufo punctatus):: insights on the evolution of North American warm desert biotas,MOLECULAR ECOLOGY,138,2005
A first look at the genetic diversity of Enteroctopus megalocyathus (Cephalopoda: Enteroctopodidae) captured by the king crab fishery in the south of Chile,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,0,2022
Identifying new associations between invasive aphids and Pinaceae trees using plant sentinels in botanic gardens,BIOLOGICAL INVASIONS,8,2019
"Genome-wide identification, splicing, and expression analysis of the myosin gene family in maize (Zea mays)",JOURNAL OF EXPERIMENTAL BOTANY,15,2014
A Modular Organization of the Human Intestinal Mucosal Microbiota and Its Association with Inflammatory Bowel Disease,PLOS ONE,148,2013
"Morphology, innervation and its phylogenetic step in the heart of the longnose gar Lepisosteus Osseus",ACTA ZOOLOGICA,5,2012
Whole mitochondrial genome screening in maternally inherited non-syndromic hearing impairment using a microarray resequencing mitochondrial DNA chip,EUROPEAN JOURNAL OF HUMAN GENETICS,74,2007
"Phylogeography, population structure and dispersal patterns of the beluga whale Delphinapterus leucas in the western Nearctic revealed by mitochondrial DNA",MOLECULAR ECOLOGY,209,1997
"The unique paired retinal vascular pattern in marsupials: structural, functional and evolutionary perspectives based on observations in a range of species",BRITISH JOURNAL OF OPHTHALMOLOGY,7,2007
"The epidemiology and evolutionary dynamics of massive dengue outbreak in China, 2019",FRONTIERS IN MICROBIOLOGY,2,2023
Whole-genome phylogenies of the family Bacillaceae and expansion of the sigma factor gene family in the Bacillus cereus species-group,BMC GENOMICS,54,2011
Whole-proteome interaction mining,BIOINFORMATICS,129,2003
Genetic diversity and natural selection of Plasmodium knowlesi merozoite surface protein 1 paralog gene in Malaysia,MALARIA JOURNAL,19,2018
Vestigial organs alter fossil placements in an ancient group of terrestrial chelicerates,CURRENT BIOLOGY,0,2024
Genome-wide identification and molecular characterization of CRK gene family in cucumber (Cucumis sativus L.) under cold stress and sclerotium rolfsii infection,BMC GENOMICS,3,2023
"Genome-Wide Analysis of the GDSL Genes in Pecan (Carya illinoensis K. Koch): Phylogeny, Structure, Promoter Cis-Elements, Co-Expression Networks, and Response to Salt Stresses",GENES,6,2022
Genome-Wide Identification and Functional Analysis of the Basic Helix-Loop-Helix (bHLH) Transcription Family Reveals Candidate PtFBH Genes Involved in the Flowering Process of Populus trichocarpa,FORESTS,6,2021
Investigation of the interaction of DAD1-LIKE LIPASE 3 (DALL3) with Selenium Binding Protein 1 (SBP1) in Arabidopsis thaliana,PLANT SCIENCE,9,2020
Daily expression of a clock gene in the brain and pituitary of the Malabar grouper (Epinephelus malabaricus),GENERAL AND COMPARATIVE ENDOCRINOLOGY,3,2019
Host species shapes the co-occurrence patterns rather than diversity of stomach bacterial communities in pikas,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,19,2017
Hidden diversity and phylogeographic history provide conservation insights for the edible seaweed Sargassum fusiforme in the Northwest Pacific,EVOLUTIONARY APPLICATIONS,31,2017
Association mapping of aphid resistance in USDA cowpea (Vigna unguiculata L. Walp.) core collection using SNPs,EUPHYTICA,20,2017
Integrative Comparison of the Role of the PHOSPHATE RESPONSE1 Subfamily in Phosphate Signaling and Homeostasis in Rice,PLANT PHYSIOLOGY,150,2015
Molecular characterization and expression analysis of the critical floral genes in hickory (Carya cathayensis Sarg.),PLANT PHYSIOLOGY AND BIOCHEMISTRY,7,2014
Zero tolerance for healthcare-associated MRSA bacteraemia: is it realistic?,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,22,2014
Coalescent-Based Genome Analyses Resolve the Early Branches of the Euarchontoglires,PLOS ONE,38,2013
"GnRH and GnRH receptors: distribution, function and evolution",JOURNAL OF FISH BIOLOGY,68,2008
FusionDB: a database for in-depth analysis of prokaryotic gene fusion events,NUCLEIC ACIDS RESEARCH,70,2004
"Genetic Diversity, Evolutionary Dynamics, and Ongoing Spread of Pedilanthus Leaf Curl Virus",VIRUSES-BASEL,0,2023
A network meta-analysis on comparison of invasive and non-invasive sampling methods to characterize intestinal microbiota of birds,AVIAN RESEARCH,2,2023
"Population expansion and genetic structure in Cephalocereus nizandensis (Cactaceae), a microendemic cactus of rocky outcrops of the Tehuantepec basin, Mexico",PLANT ECOLOGY AND EVOLUTION,1,2021
Introduction and spread of variegated squirrel bornavirus 1 (VSBV-1) between exotic squirrels and spill-over infections to humans in Germany,EMERGING MICROBES & INFECTIONS,15,2021
"Genetic diversity, population structure and ancestral origin of KwaZulu-Natal native chicken ecotypes using microsatellite and mitochondrial DNA markers",ITALIAN JOURNAL OF ANIMAL SCIENCE,8,2020
Orostachys spinosa (Crassulaceae) origin and diversification: East Asia or South Siberian Mountains? Chloroplast DNA data,PLANT SYSTEMATICS AND EVOLUTION,1,2020
The correlation analyses of bacterial community composition and spatial factors between freshwater and sediment in Poyang Lake wetland by using artificial neural network (ANN) modeling,BRAZILIAN JOURNAL OF MICROBIOLOGY,14,2020
The WD40 Gene Family in Potato (Solanum Tuberosum L.): Genome-Wide Analysis and Identification of Anthocyanin and Drought-Related WD40s,AGRONOMY-BASEL,17,2020
Novel Sequence Feature of SecA Translocase Protein Unique to the Thermophilic Bacteria: Bioinformatics Analyses to Investigate Their Potential Roles,MICROORGANISMS,6,2020
Mitochondrial DNA marker (D-loop) reveals high genetic diversity but low population structure in the pale bent-wing bat (Miniopterus pallidus) in Iran,MITOCHONDRIAL DNA PART A,7,2019
Genomics and host specialization of honey bee and bumble bee gut symbionts,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,289,2014
"Species distribution, host affinity and genetic variability of Heterobasidion annosum sensu lato in the Czech Republic",FOREST PATHOLOGY,8,2014
"Worldwide Patterns of Ancestry, Divergence, and Admixture in Domesticated Cattle",PLOS GENETICS,344,2014
Canonical and non-canonical EcfG sigma factors control the general stress response in Rhizobium etli,MICROBIOLOGYOPEN,25,2013
Comparative ICE Genomics: Insights into the Evolution of the SXT/R391 Family of ICEs,PLOS GENETICS,216,2009
"Phylogeography of the Bluegill Sunfish, Lepomis macrochirus, in the Mississippi River Basin",ZOOLOGICAL SCIENCE,13,2009
Molecular evidence for long distance dispersal across the Southern Hemisphere in the Ganoderma applanatum-australe species complex (Basidiomycota),MYCOLOGICAL RESEARCH,141,2008
Identification and characterization of the WOX Gene Family revealed two WUS Clade Members associated with embryo development in Cunninghamia lanceolata,PLANT PHYSIOLOGY AND BIOCHEMISTRY,0,2024
Genome-wide analysis of cellulose synthase gene superfamily in Tectona grandis L.f.,3 BIOTECH,0,2024
Hallmarks of Comparative Transcriptome between Rhizomorphs and Hyphae of Armillaria sp. 541 Participating in Fungal Symbiosis with Emphasis on LysM Domains,MICROORGANISMS,0,2023
Nucleotide-binding leucine-rich repeat network underlies nonhost resistance of pepper against the Irish potato famine pathogen Phytophthora infestans,PLANT BIOTECHNOLOGY JOURNAL,3,2023
"PHD-finger family genes in wheat (Triticum aestivum L.): Evolutionary conservatism, functional diversification, and active expression in abiotic stress",FRONTIERS IN PLANT SCIENCE,5,2022
The heat stress transcription factor family in Aegilops tauschii: genome-wide identification and expression analysis under various abiotic stresses and light conditions,MOLECULAR GENETICS AND GENOMICS,5,2022
Genome-Wide Identification and Comprehensive Analysis of the AP2/ERF Gene Family in Pomegranate Fruit Development and Postharvest Preservation,GENES,9,2022
Comparative Analyses of Mitochondrial Genomes Provide Evolutionary Insights Into Nematode-Trapping Fungi,FRONTIERS IN MICROBIOLOGY,22,2020
Genetic variation of Enterobius vermicularis among schoolchildren in Thailand,JOURNAL OF HELMINTHOLOGY,7,2020
"Speciation, gene flow, and seasonal migration in Catharsis thrushes (Aves:Turdidae)",MOLECULAR PHYLOGENETICS AND EVOLUTION,24,2019
Spatio-temporal expression profile of sirtuins during aging of the annual fish Nothobranchius furzeri,GENE EXPRESSION PATTERNS,9,2019
Neofunctionalization of Mitochondrial Proteins and Incorporation into Signaling Networks in Plants,MOLECULAR BIOLOGY AND EVOLUTION,16,2019
Analysis of genes encoding seed storage proteins (SSPs) in chickpea (Cicer arietinum L.) reveals co-expressing transcription factors and a seed-specific promoter,FUNCTIONAL & INTEGRATIVE GENOMICS,8,2019
"Learning from epidemiological, clinical, and immunological studies on Mycobacterium africanum for improving current understanding of host-pathogen interactions, and for the development and evaluation of diagnostics, host-directed therapies, and vaccines for tuberculosis",INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,8,2017
Extensive in silico analysis of Mimivirus coded Rab GTPase homolog suggests a possible role in virion membrane biogenesis,FRONTIERS IN MICROBIOLOGY,8,2015
Phylogenetic relationships of Semaphore geckos (Squamata: Sphaerodactylidae: Pristurus) with an assessment of the taxonomy of Pristurus rupestris,ZOOTAXA,39,2014
"On the identity of two Antarctic brooding nemerteans: redescription of Antarctonemertes valida (Burger, 1893) and description of a new species in the genus Antarctonemertes Friedrich, 1955 (Nemertea, Hoplonemertea)",POLAR BIOLOGY,15,2013
Revisiting the Yeast PPR Proteins-Application of an Iterative Hidden Markov Model Algorithm Reveals New Members of the Rapidly Evolving Family,MOLECULAR BIOLOGY AND EVOLUTION,43,2011
Convergent evolution in Cladonia gracilis and allies,LICHENOLOGIST,28,2010
Evolutionary origins of lymphocytes: Ensembles of T cell and B cell transcriptional regulators in a cartilaginous fish,JOURNAL OF IMMUNOLOGY,44,2004
Isolation of soil bacteria able to degrade the anthelminthic compound albendazole,PEERJ,1,2023
An anatomical reappraisal of the dwarf crocodylian Arambourgia gaudryi from the Eocene of Quercy (France) using CT data and its implications for the phylogeny and paleoecology of basally branching alligatoroids,JOURNAL OF VERTEBRATE PALEONTOLOGY,0,2023
Molecular Diversity of Diplostomum spathaceum (Digenea: Diplostomidae) on the Capoeta umbla and Cyprinus carpio (Cypriniformes) Using Mitochondrial DNA Barcode,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2,2023
Genetic diversity of Hilsa kelee collected from the Bay of Bengal and the Arabian Sea,MARINE BIODIVERSITY,3,2020
"Genome-wide identification, expression profiling, and network analysis of AT-hook gene family in maize",GENOMICS,30,2020
"Colonization routes, microevolutionary genetic structure and conservation concerns in a remote widespread insular endemic grass: the case of the Azorean tussock grass Deschampsia foliosa",BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,6,2019
"Epidemiology and molecular characterization of the re-emerging measles virus among children and adults in the Haut-Ogooue, Gabon",BMC INFECTIOUS DISEASES,3,2019
Metallocluster transactions: dynamic protein interactions guide the biosynthesis of Fe-S clusters in bacteria,BIOCHEMICAL SOCIETY TRANSACTIONS,19,2018
Length variation and sequence divergence in mitochondrial control region of Schizothoracine (Teleostei: Cyperinidae) species,MITOCHONDRIAL DNA PART A,0,2016
Variation in ectomycorrhizal fungal communities associated with Oreomunnea mexicana (Juglandaceae) in a Neotropical montane forest,MYCORRHIZA,50,2016
"Vicariance, long-distance dispersal, and regional extinction-recolonization dynamics explain the disjunct circumpolar distribution of the arctic-alpine plant Silene acaulis",AMERICAN JOURNAL OF BOTANY,26,2015
Evolution and expression analysis of the grape (Vitis vinifera L.) WRKY gene family,JOURNAL OF EXPERIMENTAL BOTANY,243,2014
Convergence of gut microbiomes in myrmecophagous mammals,MOLECULAR ECOLOGY,262,2014
Pathway Evolution by Horizontal Transfer and Positive Selection Is Accommodated by Relaxed Negative Selection upon Upstream Pathway Genes in Purple Bacterial Carotenoid Biosynthesis,JOURNAL OF BACTERIOLOGY,16,2009
Glacial refugia in a maritime temperate climate: Cicada (Kikihia subalpina) mtDNA phylogeography in New Zealand,MOLECULAR ECOLOGY,51,2009
"Mitochondrial HVI sequence variation in Anatolian hares (Lepus europaeus Pallas, 1778)",MAMMALIAN BIOLOGY,19,2009
Genomic and transcriptome insight into the structure and immunity role of TRIM proteins in Chinese soft-shelled turtles (Pelodiscus sinensis) after Aeromonas hydrophila infection,MOLECULAR BIOLOGY REPORTS,0,2024
Sequence similarity networks bear out hierarchical relationships of green cytochrome P450,PHYSIOLOGIA PLANTARUM,1,2024
"Genome-wide identification, classification, and expression analysis of heat shock transcription factor family in switchgrass (Panicum virgatum L.)",PLANT PHYSIOLOGY AND BIOCHEMISTRY,2,2023
Forensic Analysis and Genetic Structure Construction of Chinese Chongming Island Han Based on Y Chromosome STRs and SNPs,GENES,3,2022
"State-wide genomic epidemiology investigations of COVID-19 in healthcare workers in 2020 Victoria, Australia: Qualitative thematic analysis to provide insights for future pandemic preparedness",LANCET REGIONAL HEALTH-WESTERN PACIFIC,2,2022
"Increase of Problematic Mitogenomes of Birds: Causes, Consequences, and Remedies",GENOME BIOLOGY AND EVOLUTION,20,2021
How are transgender women acquiring HIV? Insights from phylogenetic transmission clusters in San Francisco,AIDS,7,2019
Molecular epidemiology and genetic diversity of Blastocystis infection in humans in Italy,EPIDEMIOLOGY AND INFECTION,61,2016
Epidemiological Surveillance of HIV-1 Transmitted Drug Resistance in Spain in 2004-2012: Relevance of Transmission Clusters in the Propagation of Resistance Mutations,PLOS ONE,36,2015
Computing the origin and evolution of the ribosome from its structure - Uncovering processes of macromolecular accretion benefiting synthetic biology,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,28,2015
Comparative characterization of GmSPX members reveals that GmSPX3 is involved in phosphate homeostasis in soybean,ANNALS OF BOTANY,51,2014
Phylogeography of the Brackish Water Clam Corbicula japonica Around the Japanese Archipelago Inferred from Mitochondrial COII Gene Sequences,ZOOLOGICAL SCIENCE,13,2014
"Kappaphycus alvarezii (Gigartinales, Rhodophyta) cultivated in Brazil: is it only one species?",JOURNAL OF APPLIED PHYCOLOGY,19,2013
"Mitochondrial DNA sequence-based population genetic structure of the firefly, Pyrocoelia rufa (Coleoptera: Lampyridae)",BIOCHEMICAL GENETICS,25,2003
A novel Pax-6 binding site in rodent B1 repetitive elements: coevolution between developmental regulation and repeated elements?,GENE,22,2000
GALANIN-LIKE IMMUNOREACTIVITY WITHIN THE PRIMATE BASAL FOREBRAIN - DIFFERENTIAL STAINING PATTERNS BETWEEN HUMANS AND MONKEYS,JOURNAL OF COMPARATIVE NEUROLOGY,110,1990
Beware batch culture: Seasonality and niche construction predicted to favor bacterial adaptive diversification,PLOS COMPUTATIONAL BIOLOGY,14,2017
"An interpreted atlas of biosynthetic gene clusters from 1,000 fungal genomes",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,81,2021
Insights into genes encoding respiratory burst oxidase homologs (RBOHs) in rubber tree (Hevea brasiliensis Muell. Arg.),INDUSTRIAL CROPS AND PRODUCTS,25,2019
The mtDNA haplogroup P of modern Asian cattle: A genetic legacy of Asian aurochs?,PLOS ONE,16,2018
The multi-faceted dynamics of HIV-1 transmission in Northern Alberta: A combined analysis of virus genetic and public health data,INFECTION GENETICS AND EVOLUTION,12,2017
Analysing the diversity of the caprine melanocortin 1 receptor (MC1R) in goats with distinct geographic origins,SMALL RUMINANT RESEARCH,5,2016
Exploring the Impact of Habitat Size on Phylogeographic Patterning in the Overberg Velvet Worm Peripatopsis overbergiensis (Onychophora: Peripatopsidae),JOURNAL OF HEREDITY,13,2015
Comparative Genomics Reveals New Candidate Genes Involved in Selenium Metabolism in Prokaryotes,GENOME BIOLOGY AND EVOLUTION,34,2015
An HMM-Based Comparative Genomic Framework for Detecting Introgression in Eukaryotes,PLOS COMPUTATIONAL BIOLOGY,46,2014
The BEL1-like family of transcription factors in potato,JOURNAL OF EXPERIMENTAL BOTANY,69,2014
Diffuse large B-cell lymphoma classification using linguistic analysis and ensembled artificial neural networks,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,6,2012
"Exploring the Molecular Phylogeny and Biogeography of Pleopeltis polypodioides (Polypodiaceae, Polypodiales) Inferred from Plastid DNA Sequences",SYSTEMATIC BOTANY,13,2011
"Recombination, balancing selection and adaptive evolution in the aflatoxin gene cluster of Aspergillus parasiticus",MOLECULAR ECOLOGY,90,2007
"Transcriptional regulation of AQP-8, a Caenorhabditis elegans aquaporin exclusively expressed in the excretory system, by the POU homeobox transcription factor CEH-6",JOURNAL OF BIOLOGICAL CHEMISTRY,36,2007
On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,AIDS,151,2002
Discovering Mathematical Patterns Behind HIV-1 Genetic Recombination: A New Methodology to Identify Viral Features,IEEE ACCESS,0,2023
Transcriptomes of Different Tissues for Expression Characteristics Analysis of MYB gene Family in Kenaf (Hibiscus cannabinus L.),TROPICAL PLANT BIOLOGY,1,2022
Zinc transporters ZIPT-2.4 and ZIPT-15 are required for normal C. elegans fecundity,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1,2022
The Distribution and Spread of Susceptible and Resistant Neisseria gonorrhoeae Across Demographic Groups in a Major Metropolitan Center,CLINICAL INFECTIOUS DISEASES,15,2021
"Pre-weaning Ruminal Administration of Differentially-Enriched, Rumen-Derived Inocula Shaped Rumen Bacterial Communities and Co-occurrence Networks of Post-weaned Dairy Calves",FRONTIERS IN MICROBIOLOGY,12,2021
chromosome analysis for common surnames in the Japanese male population,JOURNAL OF HUMAN GENETICS,4,2021
Review of the Recent Knowledge on the Crocodilian Immune System,SOUTH AMERICAN JOURNAL OF HERPETOLOGY,0,2020
